,운전 누적 시간,현재 상태,1-수소공급량,2-수소공급량,1-산소공급량,2-산소공급량,1-버너회전수,2-버너회전수,1-버너속도,2-버너속도,1-핀치횟수,2-핀치횟수,핀치두께-상,핀치두께-중,핀치두께-하,핀치두께2-상,핀치두께2-중,핀치두께2-하,전극간격,채널,전압(1차),전류(1차),역률(1차),전력(1차),온도(1차),전압(2차),전류(2차),역률(2차),전력(2차),온도(2차),강도,"Pinch No.1
정면부 측정 편차","Pinch No.2
정면부 측정 편차","Pinch No.1
측면부 측정 편차","Pinch No.2
측면부 측정 편차"
60,28560,0,104.991,101.00399999999999,97.017,93.03,22.593,19.935,53.16,53.16,381.423,381.423,4.571759999999999,4.571759999999999,4.55847,4.53189,4.55847,4.5186,445.13525999999996,6.0,504.91368,47.312400000000004,131.94312,30.766349999999996,14.619,639.6875699999999,11.40282,132.68736,4.850849999999999,101.00399999999999,514.323,0.0,0.0,0.0,0.0
61,39377,0,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,4046.805,4040.16,4.53189,4.55847,4.571759999999999,4.55847,4.55847,4.545179999999999,444.36444,3.0,506.94705,47.12634,131.9697,30.75306,18.605999999999998,637.69407,11.256630000000001,132.38169,4.771109999999999,132.9,402.687,0.0,0.0,0.0,0.0
62,18222,1,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,4048.134,4041.489,4.55847,4.61163,4.571759999999999,4.53189,4.53189,4.5186,443.28795,2.0,506.94705,47.12634,131.9697,30.75306,18.605999999999998,633.6140399999999,11.26992,132.36839999999998,4.744529999999999,132.9,312.315,0.0,0.0,0.0,0.0
63,21155,0,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,4056.1079999999997,4049.4629999999997,4.50531,4.545179999999999,4.5186,4.49202,4.50531,4.49202,444.90932999999995,1.0,511.38591,33.69015,122.01549,20.47989,17.277,640.4318099999999,11.376240000000001,132.51459,4.83756,116.952,427.938,0.0,0.0,0.0,0.0
64,39947,0,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,4049.4629999999997,4042.8179999999998,4.53189,4.571759999999999,4.53189,4.53189,4.53189,4.53189,444.19167,1.0,506.94705,47.12634,131.9697,30.75306,18.605999999999998,632.31162,11.41611,132.48801,4.797689999999999,132.9,421.293,0.0,0.0,0.0,0.0
65,27822,1,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,4052.121,4045.4759999999997,4.45215,4.5186,4.47873,4.5186,4.53189,4.5186,445.29474,5.0,506.94705,47.12634,131.9697,30.75306,18.605999999999998,636.3252,11.376240000000001,132.6342,4.81098,132.9,524.9549999999999,0.0,0.0,0.0,0.0
66,12125,0,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,4058.766,4052.121,4.50531,4.545179999999999,4.5186,4.5186,4.5186,4.5186,443.73981,3.0,511.38591,33.69015,122.01549,20.47989,17.277,641.29566,11.28321,132.15576,4.797689999999999,116.952,405.34499999999997,0.0,0.0,0.0,0.0
67,40950,0,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,4053.45,4046.805,4.50531,4.53189,4.53189,4.53189,4.545179999999999,4.53189,443.79296999999997,6.0,506.94705,47.12634,131.9697,30.75306,18.605999999999998,641.57475,11.40282,132.68736,4.86414,132.9,516.981,0.0,0.0,0.0,0.0
68,28825,1,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,4054.779,4048.134,4.5186,4.55847,4.50531,4.50531,4.5186,4.50531,445.09539,1.0,514.5888,18.06111,114.99837,10.379489999999999,18.605999999999998,638.33199,11.41611,132.46143,4.83756,78.411,426.609,0.0,0.0,0.0,0.0
69,12125,0,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,4061.424,4054.779,4.50531,4.571759999999999,4.53189,4.61163,4.63821,4.61163,445.29474,4.0,514.5888,18.06111,114.99837,10.379489999999999,18.605999999999998,820.63092,0,0.0,0.0,78.411,6.645,0.0,0.0,0.0,0.0
70,42951,0,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,3392.937,3388.95,4.42557,4.50531,4.43886,4.58505,4.55847,4.58505,444.93591000000004,1.0,508.54184999999995,47.21937,132.06273000000002,30.925829999999998,15.948,637.2953699999999,11.32308,132.59432999999999,4.81098,128.91299999999998,433.25399999999996,0.0,0.0,0.0,0.0
71,42951,0,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,3394.266,3390.279,4.42557,4.47873,4.42557,4.5186,4.5186,4.50531,443.38097999999997,2.0,508.54184999999995,47.21937,132.06273000000002,30.925829999999998,15.948,644.63145,11.17689,132.44814,4.81098,128.91299999999998,330.921,0.0,0.0,0.0,0.0
72,42265,0,104.991,99.675,97.017,93.03,22.593,19.935,53.16,53.16,3406.227,3399.582,4.3989899999999995,4.46544,4.41228,4.63821,4.6249199999999995,4.63821,444.21825,3.0,508.54184999999995,47.21937,132.06273000000002,30.925829999999998,15.948,637.28208,11.20347,132.35511,4.75782,128.91299999999998,409.332,0.0,0.0,0.0,0.0
